編號,組別,居住地,通勤方式,每日通勤分鐘,每日睡眠小時,每日手機小時,每週自習小時,每月外食費,最常買飲料,飲料甜度,課前測驗,課後測驗,作業完成率,滿意度,是否取得證照
26,網頁設計班,臺南,機車,19,7.6,2.5,13,4100,美式咖啡,無糖,72,96,100,5,是
27,AI應用班,高雄,捷運,30,6.9,3.6,8,5100,紅茶拿鐵,微糖,61,89,92,5,是
28,資料分析班,屏東,火車,72,5.9,6.0,3,6200,多多綠茶,半糖,48,71,67,3,否
29,網頁設計班,新竹,機車,29,7.1,3.4,10,4750,無糖綠茶,無糖,65,90,96,5,是
30,AI應用班,嘉義,公車,37,6.4,4.7,6,5500,珍珠奶茶,半糖,52,82,84,4,是
31,資料分析班,臺北,捷運,40,6.8,3.8,8,7000,美式咖啡,無糖,60,88,91,5,是
32,網頁設計班,新北,公車,54,6.2,5.2,5,6400,紅茶拿鐵,半糖,50,77,76,3,否
33,AI應用班,桃園,機車,31,7.2,3.0,11,4800,無糖綠茶,無糖,67,93,98,5,是
34,資料分析班,臺中,機車,23,6.6,4.3,7,4400,多多綠茶,微糖,57,85,88,4,是
35,網頁設計班,彰化,火車,66,5.6,6.9,2,6900,珍珠奶茶,全糖,42,65,60,2,否
36,AI應用班,臺南,機車,18,7.7,2.4,14,4000,美式咖啡,無糖,74,97,100,5,是
37,資料分析班,高雄,捷運,28,7.0,3.5,9,5000,紅茶拿鐵,微糖,63,90,94,5,是
38,網頁設計班,屏東,火車,69,6.0,5.9,4,6100,多多綠茶,半糖,49,73,71,3,否
39,AI應用班,新竹,機車,25,7.4,2.8,12,4500,無糖綠茶,無糖,69,94,99,5,是
40,資料分析班,嘉義,公車,39,6.3,4.8,6,5600,珍珠奶茶,半糖,51,81,83,4,是
41,網頁設計班,臺北,捷運,46,6.5,4.6,6,7200,美式咖啡,無糖,56,82,85,4,是
42,AI應用班,新北,公車,56,6.1,5.3,4,6500,紅茶拿鐵,半糖,48,75,74,3,否
43,資料分析班,桃園,機車,33,7.1,3.3,10,4850,無糖綠茶,無糖,64,91,96,5,是
44,網頁設計班,臺中,機車,26,6.8,3.9,8,4550,多多綠茶,微糖,59,87,90,4,是
45,AI應用班,彰化,火車,62,5.8,6.4,3,6750,珍珠奶茶,全糖,44,68,64,2,否
46,資料分析班,臺南,機車,21,7.5,2.6,13,4150,美式咖啡,無糖,71,96,100,5,是
47,網頁設計班,高雄,捷運,32,6.9,3.7,8,5150,紅茶拿鐵,微糖,62,88,91,5,是
48,AI應用班,屏東,火車,71,5.9,6.1,3,6250,多多綠茶,半糖,47,70,66,3,否
49,資料分析班,新竹,機車,28,7.3,2.9,11,4650,無糖綠茶,無糖,68,92,98,5,是
50,網頁設計班,嘉義,公車,41,6.4,4.5,6,5450,珍珠奶茶,半糖,54,80,83,4,是
51,AI應用班,臺北,捷運,44,6.7,4.0,7,7050,美式咖啡,無糖,61,86,89,4,是
52,資料分析班,新北,公車,57,6.0,5.5,4,6550,紅茶拿鐵,半糖,46,72,70,3,否
53,網頁設計班,桃園,機車,30,7.2,3.1,10,4750,無糖綠茶,無糖,66,91,97,5,是
54,AI應用班,臺中,機車,22,6.7,4.1,8,4450,多多綠茶,微糖,60,88,92,5,是
55,資料分析班,彰化,火車,65,5.7,6.8,2,6850,珍珠奶茶,全糖,41,64,59,2,否
56,網頁設計班,臺南,機車,17,7.8,2.3,14,3950,美式咖啡,無糖,75,98,100,5,是
57,AI應用班,高雄,捷運,27,7.1,3.4,9,4950,紅茶拿鐵,微糖,64,91,95,5,是
58,資料分析班,屏東,火車,73,5.8,6.3,3,6300,多多綠茶,半糖,45,69,65,2,否
59,網頁設計班,新竹,機車,24,7.5,2.7,12,4400,無糖綠茶,無糖,70,95,99,5,是
60,AI應用班,嘉義,公車,36,6.5,4.3,7,5350,珍珠奶茶,半糖,55,84,87,4,是
61,資料分析班,臺北,捷運,41,6.9,3.6,8,6950,美式咖啡,無糖,62,89,93,5,是
62,網頁設計班,新北,公車,53,6.3,5.0,5,6350,紅茶拿鐵,半糖,51,78,79,4,否
63,AI應用班,桃園,機車,29,7.3,2.8,12,4700,無糖綠茶,無糖,69,94,99,5,是
64,資料分析班,臺中,機車,24,6.9,3.8,9,4500,多多綠茶,微糖,61,89,93,5,是
65,網頁設計班,彰化,火車,60,6.0,6.0,4,6650,珍珠奶茶,全糖,47,71,69,3,否
66,AI應用班,臺南,機車,20,7.6,2.5,13,4050,美式咖啡,無糖,73,97,100,5,是
67,資料分析班,高雄,捷運,30,7.0,3.5,9,5050,紅茶拿鐵,微糖,63,90,94,5,是
68,網頁設計班,屏東,火車,67,6.2,5.7,4,6050,多多綠茶,半糖,50,75,74,3,否
69,AI應用班,新竹,機車,26,7.4,2.9,11,4550,無糖綠茶,無糖,68,93,98,5,是
70,資料分析班,嘉義,公車,35,6.6,4.2,7,5250,珍珠奶茶,半糖,56,85,88,4,是
71,網頁設計班,臺北,捷運,39,7.0,3.5,9,6800,美式咖啡,無糖,64,90,94,5,是
72,AI應用班,新北,公車,51,6.4,4.8,6,6200,紅茶拿鐵,微糖,53,81,83,4,是
