訂單編號,日期,時段,門市,飲品,尺寸,甜度,冰塊,數量,單價,等待分鐘,評分
O041,2026-06-07,晚班,板橋店,葡萄柚綠茶,大杯,半糖,少冰,2,70,9,5
O042,2026-06-07,晚班,板橋店,紅茶拿鐵,中杯,微糖,微冰,2,55,5,4
O043,2026-06-08,早班,台北車站店,冬瓜檸檬,中杯,半糖,少冰,2,50,5,4
O044,2026-06-08,早班,台北車站店,多多綠茶,大杯,正常糖,正常冰,1,60,8,3
O045,2026-06-08,午班,西門店,烏龍青茶,大杯,無糖,去冰,2,50,4,5
O046,2026-06-08,午班,西門店,芋泥鮮奶,中杯,微糖,少冰,2,65,8,5
O047,2026-06-08,晚班,板橋店,珍珠奶茶,中杯,半糖,少冰,2,55,7,5
O048,2026-06-08,晚班,板橋店,美式咖啡,大杯,無糖,去冰,1,55,3,4
O049,2026-06-09,早班,台北車站店,葡萄柚綠茶,中杯,半糖,少冰,3,60,9,5
O050,2026-06-09,早班,台北車站店,紅茶拿鐵,大杯,微糖,微冰,2,65,6,4
O051,2026-06-09,午班,西門店,冬瓜檸檬,大杯,半糖,少冰,2,60,6,4
O052,2026-06-09,午班,西門店,多多綠茶,中杯,正常糖,正常冰,2,50,10,3
O053,2026-06-09,晚班,板橋店,烏龍青茶,中杯,無糖,去冰,3,40,4,5
O054,2026-06-09,晚班,板橋店,芋泥鮮奶,大杯,微糖,少冰,1,75,9,5
O055,2026-06-10,早班,台北車站店,珍珠奶茶,大杯,半糖,少冰,2,65,8,5
O056,2026-06-10,早班,台北車站店,美式咖啡,中杯,無糖,去冰,2,45,4,4
O057,2026-06-10,午班,西門店,葡萄柚綠茶,大杯,半糖,少冰,2,70,9,5
O058,2026-06-10,午班,西門店,紅茶拿鐵,中杯,微糖,微冰,3,55,6,4
O059,2026-06-10,晚班,板橋店,冬瓜檸檬,中杯,半糖,少冰,1,50,5,4
O060,2026-06-10,晚班,板橋店,多多綠茶,大杯,正常糖,正常冰,2,60,12,3
O061,2026-06-11,早班,台北車站店,烏龍青茶,大杯,無糖,去冰,2,50,4,5
O062,2026-06-11,早班,台北車站店,芋泥鮮奶,中杯,微糖,少冰,2,65,8,5
O063,2026-06-11,午班,西門店,珍珠奶茶,中杯,半糖,少冰,3,55,10,5
O064,2026-06-11,午班,西門店,美式咖啡,大杯,無糖,去冰,1,55,3,4
O065,2026-06-11,晚班,板橋店,葡萄柚綠茶,中杯,半糖,少冰,2,60,8,5
O066,2026-06-11,晚班,板橋店,紅茶拿鐵,大杯,微糖,微冰,1,65,5,4
O067,2026-06-12,早班,台北車站店,冬瓜檸檬,大杯,半糖,少冰,3,60,7,4
O068,2026-06-12,早班,台北車站店,多多綠茶,中杯,正常糖,正常冰,2,50,9,3
O069,2026-06-12,午班,西門店,烏龍青茶,中杯,無糖,去冰,2,40,4,5
O070,2026-06-12,午班,西門店,芋泥鮮奶,大杯,微糖,少冰,2,75,9,5
O071,2026-06-12,晚班,板橋店,珍珠奶茶,大杯,半糖,少冰,1,65,7,5
O072,2026-06-12,晚班,板橋店,美式咖啡,中杯,無糖,去冰,2,45,3,4

