排名,書名,作者,折扣,優惠價,價格原文,商品網址,封面網址
16,那些散落在人間的答案【親簽，博客來獨家贈品版】,不朽,79折,591,優惠價： 79 折 591 元,https://www.books.com.tw/products/0011060438?loc=P_0003_016,https://www.books.com.tw
17,躲在超市後門抽菸的兩人 (特裝版) 8,地主,85折,212,優惠價： 85 折 212 元,https://www.books.com.tw/products/0011055694?loc=P_0003_017,https://www.books.com.tw
18,白夜行（經典單冊回歸版）,東野圭吾,79折,584,優惠價： 79 折 584 元,https://www.books.com.tw/products/0010976664?loc=P_0003_018,https://www.books.com.tw
19,共譜泡沫戀曲 (首刷限定版) 4,ゆあま,85折,153,優惠價： 85 折 153 元,https://www.books.com.tw/products/0011056779?loc=P_0003_019,https://www.books.com.tw
20,嫌疑犯X的獻身【15週年紀念全新譯本】,東野圭吾,79折,331,優惠價： 79 折 331 元,https://www.books.com.tw/products/0010864587?loc=P_0003_020,https://www.books.com.tw
21,喚醒內在的觀音：不跟痛苦糾纏，自在安心的歸零練習,黃淑文,79折,323,優惠價： 79 折 323 元,https://www.books.com.tw/products/0011058488?loc=P_0003_021,https://www.books.com.tw
22,通靈藥師的處方箋：16個人與靈的真實互動，那些來不及說的、當時沒做的、至今想不通的，未解與無解，通靈藥師給出處方,J 藥師,75折,360,優惠價： 75 折 360 元,https://www.books.com.tw/products/0011042196?loc=P_0003_022,https://www.books.com.tw
23,P.S. 我愛鮪魚罐罐，但我更愛你：一封從貓咪天堂寄回的情書【折口附贈永遠想念藏書卡】,莎拉．強西,79折,316,優惠價： 79 折 316 元,https://www.books.com.tw/products/0011057961?loc=P_0003_023,https://www.books.com.tw
24,小書痴的下剋上：漢娜蘿蕾貴族院五年級生Ⅱ,香月美夜,79折,252,優惠價： 79 折 252 元,https://www.books.com.tw/products/0011059435?loc=P_0003_024,https://www.books.com.tw
25,魔法帽的工作室 10（首刷限量版）,白濱鷗,79折,158,優惠價： 79 折 158 元,https://www.books.com.tw/products/0011059229?loc=P_0003_025,https://www.books.com.tw
26,怪獸8號 16完,松本直也,85折,110,優惠價： 85 折 110 元,https://www.books.com.tw/products/0011057758?loc=P_0003_026,https://www.books.com.tw
27,最新！新制多益TOEIC聽力／閱讀題庫解析【博客來獨家套書】：最新收錄精準 10 回模擬試題！完整反映命題趨勢、大幅提升應考能力！（附2 MP3光碟＋音檔下載QR碼）,Hackers Academia,7折,1232,優惠價： 7 折 1232 元,https://www.books.com.tw/products/0010994781?loc=P_0003_027,https://www.books.com.tw
28,窮查理的普通常識（紀念典藏版）：巴菲特50年智慧合夥人查理．蒙格的人生哲學,查理．蒙格,79折,395,優惠價： 79 折 395 元,https://www.books.com.tw/products/0010987407?loc=P_0003_028,https://www.books.com.tw
29,致富心態（全球暢銷千萬增訂版）：關於財富、貪婪與幸福的20堂理財課,摩根．豪瑟,79折,379,優惠價： 79 折 379 元,https://www.books.com.tw/products/0011043967?loc=P_0003_029,https://www.books.com.tw
30,惡靈剋星 (首刷限定版) 7,新翔子,85折,433,優惠價： 85 折 433 元,https://www.books.com.tw/products/0011054627?loc=P_0003_030,https://www.books.com.tw
31,隨他們去：全球熱銷突破1000萬冊現象級巨作！改變千萬人命運的心理技巧【附放下執念明信片】,梅爾．羅賓斯,79折,355,優惠價： 79 折 355 元,https://www.books.com.tw/products/0011055310?loc=P_0003_031,https://www.books.com.tw
32,我買下了與她的每週密會 (8) ～在一個屋簷下，屬於兩人的祕密～,羽田宇佐,79折,237,優惠價： 79 折 237 元,https://www.books.com.tw/products/0011051428?loc=P_0003_032,https://www.books.com.tw
33,財富階梯：（《持續買進》作者新作）資料科學家為你打造，適用人生各階段的致富策略,尼克．馬朱利,79折,331,優惠價： 79 折 331 元,https://www.books.com.tw/products/0011050390?loc=P_0003_033,https://www.books.com.tw
34,請允許我們身後財產自主：當親情不再可靠， 如何把財富留給真正值得的人,高愛倫,79折,363,優惠價： 79 折 363 元,https://www.books.com.tw/products/0011056126?loc=P_0003_034,https://www.books.com.tw
35,小書痴的下剋上FANBOOK(10)：為了成為圖書管理員不擇手段！,香月美夜,79折,236,優惠價： 79 折 236 元,https://www.books.com.tw/products/0011059436?loc=P_0003_035,https://www.books.com.tw
36,鏈鋸人 23,藤本樹,85折,93,優惠價： 85 折 93 元,https://www.books.com.tw/products/0011053843?loc=P_0003_036,https://www.books.com.tw
37,渣男椎名學長與瘋男佐佐木學弟 (3) （完）,伊咲ネコオ,85折,170,優惠價： 85 折 170 元,https://www.books.com.tw/products/0011056175?loc=P_0003_037,https://www.books.com.tw
38,關於我轉生變成史萊姆這檔事 (23)（完）,伏瀬,79折,316,優惠價： 79 折 316 元,https://www.books.com.tw/products/0011051426?loc=P_0003_038,https://www.books.com.tw
39,敗北女角太多了！ IMIGI MURU ART WORKS (首刷限定版) 全,"IMIGIMURU(插畫),雨森焚火(原作)",85折,518,優惠價： 85 折 518 元,https://www.books.com.tw/products/0011054998?loc=P_0003_039,https://www.books.com.tw
40,原子習慣：細微改變帶來巨大成就的實證法則,詹姆斯‧克利爾,79折,260,優惠價： 79 折 260 元,https://www.books.com.tw/products/0010822522?loc=P_0003_040,https://www.books.com.tw
41,16647（2）【特裝版】,小河少年 Kawa,,780,優惠價： 780 元,https://www.books.com.tw/products/0011057772?loc=P_0003_041,https://www.books.com.tw
42,馬斯克寶典：從顛覆矽谷到打造太空帝國，讀懂全球首富20年極限思維【繁中版限定收錄：給讀者的手寫寄語印簽,艾瑞克．喬根森（Eric Jorgenson）,79折,410,優惠價： 79 折 410 元,https://www.books.com.tw/products/0011054455?loc=P_0003_042,https://www.books.com.tw
43,在看板對面，聽見人生：方念華,方念華,79折,331,優惠價： 79 折 331 元,https://www.books.com.tw/products/0011056991?loc=P_0003_043,https://www.books.com.tw
44,關於我在無意間被隔壁的天使變成廢柴這件事 (首刷限定版) 12,佐伯さん,85折,510,優惠價： 85 折 510 元,https://www.books.com.tw/products/0011055910?loc=P_0003_044,https://www.books.com.tw
45,百瀨同學的初戀破綻百出。 (首刷限定版) 5,晴川 シンタ,85折,119,優惠價： 85 折 119 元,https://www.books.com.tw/products/0011056140?loc=P_0003_045,https://www.books.com.tw
46,去家庭餐廳吧。 下,和山やま,85折,127,優惠價： 85 折 127 元,https://www.books.com.tw/products/0011055895?loc=P_0003_046,https://www.books.com.tw
47,惡意【獨步20週年紀念版】,東野圭吾,79折,300,優惠價： 79 折 300 元,https://www.books.com.tw/products/0011041299?loc=P_0003_047,https://www.books.com.tw
48,烈愛對決【博客來獨家對決版】（現象級同名電視劇原著小說  全球冰球羅曼史狂潮代表作）,瑞秋‧里德,79折,355,優惠價： 79 折 355 元,https://www.books.com.tw/products/0011057782?loc=P_0003_048,https://www.books.com.tw
49,2.5次元的誘惑(22),橋本悠,9折,144,優惠價： 9 折 144 元,https://www.books.com.tw/products/0011058727?loc=P_0003_049,https://www.books.com.tw
50,青春之箱 (首刷限定版) 25,三浦糀,85折,178,優惠價： 85 折 178 元,https://www.books.com.tw/products/0011055902?loc=P_0003_050,https://www.books.com.tw
51,高雄，緊緊緊【博客來獨家邁邁手繪限量透卡】：2314天極限轉型,"陳其邁feat. 行政團隊口述,蘇芳禾,李珮綺,高哲暉",79折,379,優惠價： 79 折 379 元,https://www.books.com.tw/products/0011060441?loc=P_0003_051,https://www.books.com.tw
52,冰之城牆 7,阿賀沢紅茶,85折,178,優惠價： 85 折 178 元,https://www.books.com.tw/products/0011056132?loc=P_0003_052,https://www.books.com.tw
53,86─不存在的戰區─(Ep.14) ─Paint it black─,"安里アサト,Ⅰ-Ⅳ",79折,205,優惠價： 79 折 205 元,https://www.books.com.tw/products/0011050227?loc=P_0003_053,https://www.books.com.tw
54,108斬！~1年後絕對達成108斬~ (首刷限定版) 1,zensori,85折,153,優惠價： 85 折 153 元,https://www.books.com.tw/products/0011056613?loc=P_0003_054,https://www.books.com.tw
55,靈異教師神眉PLUS 全,"真倉 翔 (原作),岡野 剛 (漫畫)",85折,93,優惠價： 85 折 93 元,https://www.books.com.tw/products/0011056137?loc=P_0003_055,https://www.books.com.tw
56,高薪賽道：選擇比努力重要！走對路徑的職場換軌與談薪心法,抹布（Moboo）,79折,355,優惠價： 79 折 355 元,https://www.books.com.tw/products/0011057716?loc=P_0003_056,https://www.books.com.tw
57,【旅行特別版】蛤蟆先生去看心理師（暢銷500萬冊！英國心理諮商經典，附《蛤蟆先生旅遊去萬用卡片》）,羅伯‧狄保德,79折,316,優惠價： 79 折 316 元,https://www.books.com.tw/products/0011045831?loc=P_0003_057,https://www.books.com.tw
58,難以承受的悸動是戀愛嗎？ 6,空華みあ,85折,119,優惠價： 85 折 119 元,https://www.books.com.tw/products/0011057639?loc=P_0003_058,https://www.books.com.tw
59,靈異教師神眉~怪 (首刷限定版) 1,岡野 剛 (漫畫)／真倉 翔 (原作),85折,144,優惠價： 85 折 144 元,https://www.books.com.tw/products/0011056611?loc=P_0003_059,https://www.books.com.tw
60,馬斯克寶典【博客來獨家贈送｜馬斯克「極限思維」火箭升空桌面立牌】：從顛覆矽谷到打造太空帝國，讀懂全球,艾瑞克．喬根森,79折,410,優惠價： 79 折 410 元,https://www.books.com.tw/products/0011054683?loc=P_0003_060,https://www.books.com.tw
61,奧德賽（諾蘭史詩鉅片原著，暢銷80年英譯全本，不朽中譯珍藏經典）,荷馬,79折,363,優惠價： 79 折 363 元,https://www.books.com.tw/products/0011055103?loc=P_0003_061,https://www.books.com.tw
62,律師帶你看校園大小事2：老師必知的33個法律問題,Kitty Mao 毛律師,79折,379,優惠價： 79 折 379 元,https://www.books.com.tw/products/0011052631?loc=P_0003_062,https://www.books.com.tw
63,16647（2）,小河少年 Kawa,79折,300,優惠價： 79 折 300 元,https://www.books.com.tw/products/0011057771?loc=P_0003_063,https://www.books.com.tw
64,戰火在窗前：白宮記者直擊美以伊三國衝突，透視世界大變局,張經義,79折,395,優惠價： 79 折 395 元,https://www.books.com.tw/products/0011057627?loc=P_0003_064,https://www.books.com.tw
65,高功能倖存者：如果不「有用」，我還值得被愛嗎？,周慕姿,79折,387,優惠價： 79 折 387 元,https://www.books.com.tw/products/0011052184?loc=P_0003_065,https://www.books.com.tw
66,秘密：東野圭吾之所以成為東野圭吾的完美傑作！【約定版】,東野圭吾,79折,355,優惠價： 79 折 355 元,https://www.books.com.tw/products/0010960475?loc=P_0003_066,https://www.books.com.tw
67,放學後回家小確幸 (首刷限定版) 2,松田舞,85折,187,優惠價： 85 折 187 元,https://www.books.com.tw/products/0011056129?loc=P_0003_067,https://www.books.com.tw
68,極樂街(06),佐乃夕斗,85折,127,優惠價： 85 折 127 元,https://www.books.com.tw/products/0011057131?loc=P_0003_068,https://www.books.com.tw
69,我獨自升級23漫畫,DUBU(REDICE STUDIO),9折,252,優惠價： 9 折 252 元,https://www.books.com.tw/products/0011054955?loc=P_0003_069,https://www.books.com.tw
70,我獨自升級24漫畫,DUBU(REDICE STUDIO),9折,252,優惠價： 9 折 252 元,https://www.books.com.tw/products/0011054956?loc=P_0003_070,https://www.books.com.tw
71,淫嘆的愛莉西亞(02)END,H9,9折,135,優惠價： 9 折 135 元,https://www.books.com.tw/products/0011058733?loc=P_0003_071,https://www.books.com.tw
72,金剛經白話講座：放下的人生修行,王思迅,79折,474,優惠價： 79 折 474 元,https://www.books.com.tw/products/0011027110?loc=P_0003_072,https://www.books.com.tw
73,活用技術分析寶典：飆股上校朱家泓40年實戰精華 從K線、均線到交易高手的養成祕笈 (上、下冊),朱家泓,7折,840,優惠價： 7 折 840 元,https://www.books.com.tw/products/0011004039?loc=P_0003_073,https://www.books.com.tw
74,高希均回憶錄：從「天下哪有白吃午餐」到「和平幸福」,高希均,79折,632,優惠價： 79 折 632 元,https://www.books.com.tw/products/0011052303?loc=P_0003_074,https://www.books.com.tw
75,鏈鋸人 6,藤本樹,85折,93,優惠價： 85 折 93 元,https://www.books.com.tw/products/0010860816?loc=P_0003_075,https://www.books.com.tw
76,張開的手【博客來獨家贈「順風自在 葉籤貼」】：森林智者活出身心自由的溫柔指引,"比約恩．納提科．林德布勞,卡洛琳．班克勒",79折,434,優惠價： 79 折 434 元,https://www.books.com.tw/products/0011057892?loc=P_0003_076,https://www.books.com.tw
77,全新制20次多益滿分的怪物講師TOEIC多益單字+文法【隨身版】(附文法教學影片+「Youtor App」內含VRP虛擬點讀筆+防水書套),怪物講師教學團隊（台灣）,79折,315,優惠價： 79 折 315 元,https://www.books.com.tw/products/0010931739?loc=P_0003_077,https://www.books.com.tw
78,抄寫英語的奇蹟：1天10分鐘，英語和人生都起飛,林熙 Brett Lindsay,79折,300,優惠價： 79 折 300 元,https://www.books.com.tw/products/0010982908?loc=P_0003_078,https://www.books.com.tw
79,我的黑道姑姑：教我的99件事,黃山料,79折,331,優惠價： 79 折 331 元,https://www.books.com.tw/products/0011051787?loc=P_0003_079,https://www.books.com.tw
80,我可能錯了：森林智者的最後一堂人生課,"比約恩．納提科．林德布勞,卡洛琳．班克勒,納維德．莫迪里",79折,355,優惠價： 79 折 355 元,https://www.books.com.tw/products/0010947051?loc=P_0003_080,https://www.books.com.tw
81,北投女巫 【1～3特裝版】,簡士頡,,1300,優惠價： 1300 元,https://www.books.com.tw/products/0011053492?loc=P_0003_081,https://www.books.com.tw
82,演算法：馬斯克演算法5步驟，推動特斯拉與SpaceX爆發式成長的祕密,喬恩．麥克尼爾,79折,316,優惠價： 79 折 316 元,https://www.books.com.tw/products/0011055506?loc=P_0003_082,https://www.books.com.tw
83,淫嘆的愛莉西亞外傳 被哥布林帝國淫墮的女戰士(全),H9,9折,126,優惠價： 9 折 126 元,https://www.books.com.tw/products/0011059705?loc=P_0003_083,https://www.books.com.tw
84,因與聿．案簿錄（漫畫）1：水漬【加贈特典明信片．漣漪】,"AKRU,護玄",79折,221,優惠價： 79 折 221 元,https://www.books.com.tw/products/0011058972?loc=P_0003_084,https://www.books.com.tw
85,盡情啃食我、教我什麼是愛 3完 首刷限定版,ぽけろう,85折,153,優惠價： 85 折 153 元,https://www.books.com.tw/products/0011057763?loc=P_0003_085,https://www.books.com.tw
86,魔法抱抱【情緒管理】（理解並安撫孩子的壞情緒）,郭飛飛,7折,196,優惠價： 7 折 196 元,https://www.books.com.tw/products/0010945875?loc=P_0003_086,https://www.books.com.tw
87,高飛人生：從華航基層到董事長，46年台灣航空實戰經驗，淬鍊出的經營智慧、決策視野與人生格局,孫洪祥,79折,355,優惠價： 79 折 355 元,https://www.books.com.tw/products/0011056438?loc=P_0003_087,https://www.books.com.tw
88,蛤蟆先生去看心理師（暢銷300萬冊！英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組）,羅伯．狄保德,79折,316,優惠價： 79 折 316 元,https://www.books.com.tw/products/0010914794?loc=P_0003_088,https://www.books.com.tw
89,月刊少女野崎同學(17),樁泉,9折,126,優惠價： 9 折 126 元,https://www.books.com.tw/products/0011058089?loc=P_0003_089,https://www.books.com.tw
90,八犬傳 ‐東方八犬異聞‐ (1),あべ美幸,85折,127,優惠價： 85 折 127 元,https://www.books.com.tw/products/0011056164?loc=P_0003_090,https://www.books.com.tw
91,被討厭的勇氣：自我啟發之父「阿德勒」的教導,"岸見一郎,古賀史健",79折,237,優惠價： 79 折 237 元,https://www.books.com.tw/products/0010653153?loc=P_0003_091,https://www.books.com.tw
92,ONE PIECE航海王 (首刷限定版) 113,尾田榮一郎,85折,123,優惠價： 85 折 123 元,https://www.books.com.tw/products/0011047966?loc=P_0003_092,https://www.books.com.tw
93,全新！新制多益 TOEIC 單字大全 ：備考多益唯一推薦權威單字書！不論題型如何變化，內容持續更新，常考字彙表達完全掌握，準確度最高！（附音檔下載QR碼）,David Cho,79折,394,優惠價： 79 折 394 元,https://www.books.com.tw/products/0010929979?loc=P_0003_093,https://www.books.com.tw
94,GACHIAKUTA (首刷限定版) 18,裏那 圭／晏童秀吉,85折,144,優惠價： 85 折 144 元,https://www.books.com.tw/products/0011056787?loc=P_0003_094,https://www.books.com.tw
95,上伊那牡丹，醉姿如百合 1,塀,85折,119,優惠價： 85 折 119 元,https://www.books.com.tw/products/0011049207?loc=P_0003_095,https://www.books.com.tw
96,未來1000天：你現在的努力，有多少會在AI時代失效？37 位實踐者寫給你的應對指南 (隨書珍藏〈1000天導航圖〉拉頁),羅振宇,79折,442,優惠價： 79 折 442 元,https://www.books.com.tw/products/0011052556?loc=P_0003_096,https://www.books.com.tw
97,汙穢不堪的妳最惹人憐愛 (5) (完),まにお,85折,127,優惠價： 85 折 127 元,https://www.books.com.tw/products/0011056147?loc=P_0003_097,https://www.books.com.tw
98,吃佛：從一座城市窺見西藏的劫難與求生,芭芭拉．德米克,79折,355,優惠價： 79 折 355 元,https://www.books.com.tw/products/0010894686?loc=P_0003_098,https://www.books.com.tw
99,志乃與戀 (4),千種みのり,85折,255,優惠價： 85 折 255 元,https://www.books.com.tw/products/0011056145?loc=P_0003_099,https://www.books.com.tw
100,神樂鉢 (首刷限定版) 10,外薗 健,85折,284,優惠價： 85 折 284 元,https://www.books.com.tw/products/0011055332?loc=P_0003_100,https://www.books.com.tw
